id,description,descriptionRaw,currencyCode,amount,amountInAccountCurrency,date,category,categoryId,balance,accountId,providerCode,status,paymentData,type,creditCardMetadata,acquirerData,merchant,createdAt,updatedAt
00000000-0000-0000-0000-000000000000,Paypal *Adobe,Paypal *Adobe,BRL,139.0,,2024-03-08T13:15:44.001Z,Digital services,09000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'PAYPAL DO BRASIL SERVICOS DE PAGAMENTOS LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Google Storage,Google Storage,BRL,7.99,,2024-03-04T12:06:19.001Z,Digital services,09000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Internet', 'businessName': 'GOOGLE BRASIL INTERNET LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Uber *Uber *Trip,Uber *Uber *Trip,BRL,11.08,,2024-03-02T15:17:12.001Z,Taxi and ride-hailing,19010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'UBER DO BRASIL TECNOLOGIA LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Uber *Uber *Trip,Uber *Uber *Trip,BRL,18.58,,2024-03-01T19:59:17.001Z,Taxi and ride-hailing,19010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'UBER DO BRASIL TECNOLOGIA LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,IOF de compra internacional,IOF de compra internacional,BRL,1.13,,2024-02-27T05:36:13.257Z,Tax on financial operations,15030000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,{'cardNumber': '0000'},,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Ame*Americanas.Com 5/8,Ame*Americanas.Com 5/8,BRL,126.24,,2024-02-27T03:00:00.000Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 8, 'installmentNumber': 5, 'payeeMCC': 0}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Food and drinks', 'businessName': 'LOJAS AMERICANAS S.A.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Pg *Genio Desks 5/8,Pg *Genio Desks 5/8,BRL,581.42,,2024-02-27T03:00:00.000Z,Shopping,08000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'totalInstallments': 8, 'installmentNumber': 5, 'payeeMCC': 0}",,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Nebula Subscription,Nebula Subscription,USD,5.0,25.91,2024-02-26T12:28:41.001Z,Transfers,05000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0}",,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,IOF de compra internacional,IOF de compra internacional,BRL,0.24,,2024-02-15T05:20:12.496Z,Tax on financial operations,15030000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'billId': 'ba1e635d-4c1f-41d6-83da-43cb7c0f3a4c'}",,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,IOF de compra internacional,IOF de compra internacional,BRL,1.14,,2024-02-14T02:16:08.614Z,Tax on financial operations,15030000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'billId': 'ba1e635d-4c1f-41d6-83da-43cb7c0f3a4c'}",,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Google *Youtubepremium,Google *Youtubepremium,ARS,869.0,5.43,2024-02-14T00:00:00.001Z,Digital services,09000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0, 'billId': 'ba1e635d-4c1f-41d6-83da-43cb7c0f3a4c'}",,"{'cnpj': '', 'name': 'youtube', 'businessName': ''}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Paypal *Discord,Paypal *Discord,BRL,26.06,,2024-02-13T00:00:00.001Z,Shopping,08000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0, 'billId': 'ba1e635d-4c1f-41d6-83da-43cb7c0f3a4c'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'PAYPAL DO BRASIL SERVICOS DE PAGAMENTOS LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Aliexpress,Aliexpress,BRL,271.01,,2024-02-12T01:26:25.001Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0, 'billId': 'ba1e635d-4c1f-41d6-83da-43cb7c0f3a4c'}",,"{'cnpj': '', 'name': 'AliExpress', 'businessName': ''}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Paypal *Adobe,Paypal *Adobe,BRL,139.0,,2024-02-09T06:11:17.001Z,Digital services,09000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0, 'billId': 'ba1e635d-4c1f-41d6-83da-43cb7c0f3a4c'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'PAYPAL DO BRASIL SERVICOS DE PAGAMENTOS LTDA.'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Mercadolivre*Mercadol,Mercadolivre*Mercadol,BRL,87.82,,2024-02-08T02:31:16.001Z,Online shopping,08010000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0, 'billId': 'ba1e635d-4c1f-41d6-83da-43cb7c0f3a4c'}",,"{'cnae': '0000000', 'cnpj': '00000000000000', 'name': '', 'category': 'Services', 'businessName': 'MERCADOLIVRE.COM ATIVIDADES DE INTERNET LTDA'}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Desconto Antecipação ,Desconto Antecipação ,BRL,-48.71,,2024-02-07T16:13:57.008Z,Bank fees,16000000,,00000000-0000-0000-0000-000000000000,,POSTED,,CREDIT,"{'cardNumber': '0000', 'billId': 'ba1e635d-4c1f-41d6-83da-43cb7c0f3a4c'}",,,2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
00000000-0000-0000-0000-000000000000,Ec *Alipaybrasil,Ec *Alipaybrasil,BRL,259.0,,2024-02-06T17:10:36.001Z,Shopping,08000000,,00000000-0000-0000-0000-000000000000,,POSTED,,DEBIT,"{'cardNumber': '0000', 'payeeMCC': 0, 'billId': 'ba1e635d-4c1f-41d6-83da-43cb7c0f3a4c'}",,"{'cnpj': '', 'name': 'alipay', 'businessName': ''}",2024-03-10T18:18:40.018Z,2024-03-10T18:18:40.018Z
