date,category,title,amount
2024-01-05,transporte,Uber *Uber *Trip,19.95
2024-01-05,transporte,Uber *Uber *Trip,16.99
2024-01-04,transporte,Uber *Uber *Trip,15.16
2024-01-04,transporte,Uber *Uber *Trip,17.95
2024-01-04,transporte,Uber *Uber *Trip,1.31
2024-01-04,transporte,Uber *Uber *Trip,15.39
2024-01-04,transporte,Uber *Uber *Trip,13.96
2024-01-03,restaurante,Subway Liberdade,53.00
2024-01-03,transporte,Uber *Uber *Trip,15.42
2024-01-03,transporte,Uber *Uber *Trip,13.93
2024-01-03,transporte,Uber *Uber *Trip,13.55
2024-01-03,transporte,Uber *Uber *Trip,11.83
2024-01-03,saúde,Drogaria Araujo Boulev,350.00
2024-01-03,restaurante,Ifd*Riso Savassi Resta,113.79
2024-01-03,restaurante,Bonissima Mangabeiras,51.88
2023-12-31,outros,Amazonprimebr,14.90
2023-12-30,transporte,Uber *Uber *Trip,12.53
2023-12-30,casa,Sup Epa Cento Cinq e T,92.66
2023-12-29,transporte,Uber *Uber *Trip,5.90
2023-12-29,outros,Amazonprimebr,14.90
2023-12-29,restaurante,Redentor,232.76
2023-12-28,eletrônicos,Amazon,39.52
2023-12-26,chargeback_brazil_due,Depósito de Confiança de "Ifood *Ifd*Mm Moreir",-36.80
2023-12-26,restaurante,Ifd*Mult Comercio de P,159.79
2023-12-25,casa,Pet Love*Order10400198,80.51
2023-12-19,restaurante,Ifood *Ifood,99.69
2023-12-18,restaurante,Ifood *Ifd*Woodies H,88.80
2023-12-18,serviços,Netflix Entretenimento,25.90
2023-12-17,restaurante,Ifood *Ifd*Yacai Cid,102.90
2023-12-14,restaurante,Ifood *Ifd*Burger X,55.86
2023-12-12,eletrônicos,Amazon,37.78
2023-12-12,eletrônicos,Amazon Marketplace,27.00
2023-12-12,eletrônicos,Amazon Marketplace,64.90
2023-12-12,eletrônicos,Amazon Marketplace,21.90
2023-12-10,payment,Pagamento recebido,-2712.78
2023-12-06,eletrônicos,Amazon,42.68
2023-12-06,serviços,Iugu*Meudinheiro 2/3,66.80
2023-12-06,casa,Leroy Merlin 5/6,624.98
